"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"22094SynapticsIncorporate.AudioControls","1.3.99.0","CN=5699BA41-022E-4685-9AD3-95C4C30DE78D",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200831"
"7-Zip 16.02","16.02","Igor Pavlov",
"7-Zip 22.01 (x64)","22.01","Igor Pavlov",
"A97ECD55.KYOCERAPrintCenter","4.4.11210.0","CN=C217ADB1-F397-44E2-B8F9-DB39EB3A98D2",
"AD2F1837.HPBusinessSlimKeyboard","1.0.2.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPJumpStarts","1.10.1627.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPCHardwareDiagnosticsWindows","2.6.4.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPrivacySettings","1.3.7.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241212"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241028"
"AppUp.IntelGraphicsControlPanel","3.3.0.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20221110"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20210719"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.205","Google LLC","20241220"
"HP Assess and Respond","1.1.44.1598","HP Inc.","20241205"
"HP Client Security Manager","9.5.4.2912","HP Inc.","20210301"
"HP Connection Optimizer","2.0.19.0","HP","20210719"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.55.1","HP Inc.","20210719"
"HP Notifications","1.1.28.1","HP","20210719"
"HP PC Hardware Diagnostics UEFI","8.1.0.0","HP","20210719"
"HP Security Update Service","4.4.21.937","HP Inc.","20241220"
"HP System Default Settings","1.4.9.2","HP Inc.","20200408"
"HP Wolf Security","4.4.19.1661","HP Inc.","20241108"
"HP Wolf Security","4.4.21.937","HP Inc.","20241220"
"HP Wolf Security - Console","11.1.3.802","HP Inc.","20241220"
"HP Wolf Security Application Support for Chrome 102.0.5005.148","4.3.7.401","HP Inc.","20220720"
"HP Wolf Security Application Support for Chrome 130.0.6723.152","4.4.19.1925","HP Inc.","20241220"
"HP Wolf Security Application Support for Sure Sense","4.4.19.1414","HP Inc.","20241014"
"HP Wolf Security Application Support for Sure Sense","4.4.21.937","HP Inc.","20241220"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel(R) Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20210719"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20210719"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20210719"
"Intel(R) Management Engine Components","2105.15.0.2157","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20210719"
"Intel(R) Processor Graphics","26.20.100.7261","Intel Corporation",
"KARAT - Setup 6.0",,,
"Kaspersky Security Center Administrationsagent","13.2.0.1511","Kaspersky",""
"KeePass Password Safe 2.50","2.50","Dominik Reichl","20220218"
"Microsoft 365 Apps for Business - de-de","16.0.15831.20208","Microsoft Corporation",
"Microsoft Access database engine 2010 (German)","14.0.7015.1000","Microsoft Corporation","20210603"
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft ODBC Driver 17 for SQL Server","17.9.1.1","Microsoft Corporation","20230201"
"Microsoft OLE DB Driver for SQL Server","18.2.2.0","Microsoft Corporation","20201105"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2005-Abwärtskompatibilität","8.05.2309","Microsoft Corporation","20201105"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200831"
"Microsoft SQL Server 2012 Native Client ","11.4.7001.0","Microsoft Corporation","20201105"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241115"
"Microsoft Update Health Tools","3.68.0.0","Microsoft Corporation","20221104"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200408"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation","20201111"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20200831"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20201111"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20201111"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20201111"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Corporation",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20201105"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20201105"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft.549981C3F5F10","4.2308.1005.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Getstarted","10.2312.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Microsoft3DViewer","7.2407.16012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdge.Stable","131.0.2903.99","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
