"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"22094SynapticsIncorporate.AudioControls","1.3.99.0","CN=5699BA41-022E-4685-9AD3-95C4C30DE78D",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200806"
"7-Zip 16.02","16.02","Igor Pavlov",
"AD2F1837.HPBusinessSlimKeyboard","1.0.2.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPJumpStarts","1.10.1627.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPCHardwareDiagnosticsWindows","2.6.4.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPrivacySettings","1.3.7.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPSupportAssistant","9.41.29.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"Adobe Acrobat Reader - Deutsch","24.005.20320","Adobe Systems Incorporated","20241213"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241028"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"AppUp.IntelGraphicsControlPanel","3.3.0.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"bisoft .NET Client","8.2.119","gbo-datacomp","20200806"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Citrix Authentication Manager","5.0.0.60597","Citrix Systems, Inc.","20211012"
"Citrix Receiver (DV)","14.0.0.91","Citrix Systems, Inc.","20211012"
"Citrix Receiver (HDX Flash-Umleitung)","14.0.0.91","Citrix Systems, Inc.","20211012"
"Citrix Receiver Inside","3.4.0.45902","Citrix Systems, Inc.","20211012"
"Citrix Receiver Updater","4.0.0.45893","Citrix Systems, Inc.","20211012"
"Citrix Receiver(Aero)","14.0.0.91","Citrix Systems, Inc.","20211012"
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.2.11083.0","DocuWare","20200806"
"DocuWare Edit & Send","7.2.11083.0","DocuWare","20200806"
"DocuWare OCR","10.0.0.0","DocuWare","20200806"
"DocuWare Printer","7.2.11083.0","DocuWare","20200806"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20240326"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.205","Google LLC","20241220"
"HP Assess and Respond","1.1.44.1598","HP Inc.","20241205"
"HP Client Security Manager","9.5.4.2912","HP Inc.",
"HP Connection Optimizer","2.0.15.0","HP Inc.","20200409"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.54.1","HP Inc.","20200228"
"HP Notifications","1.1.28.1","HP","20210624"
"HP PC Hardware Diagnostics UEFI","8.7.2.0","HP","20221025"
"HP Security Update Service","4.4.21.937","HP Inc.","20241220"
"HP System Default Settings","1.4.16.14","HP Inc.","20230502"
"HP System Default Settings","1.4.16.7","HP Inc.","20221213"
"HP Wolf Security","4.4.19.1661","HP Inc.","20241108"
"HP Wolf Security","4.4.21.937","HP Inc.","20241220"
"HP Wolf Security - Console","11.1.3.802","HP Inc.","20241220"
"HP Wolf Security Application Support for Chrome 130.0.6723.152","4.4.19.1925","HP Inc.","20241220"
"HP Wolf Security Application Support for Sure Sense","4.4.19.1414","HP Inc.","20241011"
"HP Wolf Security Application Support for Sure Sense","4.4.21.937","HP Inc.","20241220"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel(R) Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20240326"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20240326"
"Intel(R) Management Engine Components","2351.5.48.0","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20240326"
"Intel(R) ME WMI Provider","1.0.0.0","Intel Corporation","20240326"
"Intel(R) Processor Graphics","26.20.100.7261","Intel Corporation",
"KARAT - Setup 6.0",,,
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.99","Microsoft Corporation","20241216"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.99","Microsoft Corporation","20241216"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200806"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241113"
"Microsoft Update Health Tools","3.67.0.0","Microsoft Corporation","20220408"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200409"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20200806"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20200912"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20200912"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20200912"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31938","14.34.31938.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240426"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240426"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230503"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230503"
"Microsoft.549981C3F5F10","4.2308.1005.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Getstarted","10.2312.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Messaging","5.1901.60431.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Microsoft3DViewer","7.2407.16012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdge.Stable","131.0.2903.86","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdgeDevToolsClient","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
